quantity,label,si_unit,required_conditions,vocabulary,vocabulary_version,external_term,external_iri,external_unit,relation,verified,verified_against,note
time,Time,s,[],bdf,1.2.0,test_time_second,https://w3id.org/battery-data-alliance/ontology/battery-data-format#test_time_second,s,exact,True,BDF 1.2.0,BDF required column.
voltage,Voltage,V,[],bdf,1.2.0,voltage_volt,https://w3id.org/battery-data-alliance/ontology/battery-data-format#voltage_volt,V,exact,True,BDF 1.2.0,BDF required column.
current,Current,A,[],bdf,1.2.0,current_ampere,https://w3id.org/battery-data-alliance/ontology/battery-data-format#current_ampere,A,close,True,BDF 1.2.0,"BDF documents positive = charge. This schema does NOT inherit that as an assumption: test_run.current_sign records the convention per run, because ionworksdata uses the opposite sign under the same column name."
cycle_number,Cycle number,1,[],bdf,1.2.0,cycle_count,https://w3id.org/battery-data-alliance/ontology/battery-data-format#cycle_count,1,close,True,BDF 1.2.0,"BDF carries a single cycle count. This schema stores cycle_index_as_reported AND cycle_index_derived, because no two cyclers agree on when a cycle increments."
temperature,Temperature,K,[],bdf,1.2.0,ambient_temperature_celsius,https://w3id.org/battery-data-alliance/ontology/battery-data-format#ambient_temperature_celsius,degC,narrower,True,BDF 1.2.0,"BDF separates ambient / surface / t1..t5. This schema additionally binds each to a sensor entity with a mount location, which BDF has no concept of."
power,Power,W,[],bdf,1.2.0,power_watt,https://w3id.org/battery-data-alliance/ontology/battery-data-format#power_watt,W,exact,True,BDF 1.2.0,
frequency,Frequency,Hz,[],bdf,1.2.0,frequency_hertz,https://w3id.org/battery-data-alliance/ontology/battery-data-format#frequency_hertz,Hz,exact,True,BDF 1.2.0,
impedance_real,Re(Z),ohm,[],bdf,1.2.0,real_impedance_ohm,https://w3id.org/battery-data-alliance/ontology/battery-data-format#real_impedance_ohm,ohm,exact,True,BDF 1.2.0,
impedance_imag,Im(Z),ohm,[],bdf,1.2.0,imaginary_impedance_ohm,https://w3id.org/battery-data-alliance/ontology/battery-data-format#imaginary_impedance_ohm,ohm,exact,True,BDF 1.2.0,
internal_resistance_ac,AC internal resistance,ohm,"['frequency_hz', 'soc_pct', 'temperature_c']",bdf,1.2.0,ac_internal_resistance_ohm,https://w3id.org/battery-data-alliance/ontology/battery-data-format#ac_internal_resistance_ohm,ohm,broader,True,BDF 1.2.0,"BDF has a single AC resistance column with no frequency, SOC or temperature. Those are required conditions here, so a BDF value alone cannot be promoted to an observation without them."
internal_resistance_dc,DC internal resistance,ohm,"['pulse_duration_s', 'pulse_current_a', 'soc_pct', 'temperature_c', 'direction']",bdf,1.2.0,dc_internal_resistance_ohm,https://w3id.org/battery-data-alliance/ontology/battery-data-format#dc_internal_resistance_ohm,ohm,broader,True,BDF 1.2.0,"Same issue, worse: DC resistance without a pulse duration is uninterpretable, and 2 s / 10 s / 18 s / 30 s are all in standard use."
pressure,Pressure,Pa,[],bdf,1.2.0,applied_pressure_pa,https://w3id.org/battery-data-alliance/ontology/battery-data-format#applied_pressure_pa,Pa,narrower,True,BDF 1.2.0,BDF separates ambient / applied / surface pressure.
capacity,Capacity,C,"['rate_value', 'rate_unit', 'temperature_c', 'voltage_lower_v']",bdf,1.2.0,,,,no_equivalent,True,BDF 1.2.0,"BDF carries cumulative charge/discharge capacity per record. It has no concept of a rated capacity under stated conditions - that is metadata, and the metadata format does not exist yet."
cycle_life,Cycle life,1,"['temperature_c', 'dod_pct', 'rate_value', 'rate_unit']",bdf,1.2.0,,,,no_equivalent,True,BDF 1.2.0,Out of scope for a time-series format.
capacity,Capacity,C,"['rate_value', 'rate_unit', 'temperature_c', 'voltage_lower_v']",bpx,0.4,Nominal cell capacity [A.h],,A.h,close,True,BPX 0.4,BPX nominal capacity carries no rate or temperature; this schema requires them.
charge_cutoff_voltage,Charge cutoff voltage,V,[],bpx,0.4,Upper voltage cut-off [V],,V,exact,True,BPX 0.4,
discharge_cutoff_voltage,Discharge cutoff voltage,V,[],bpx,0.4,Lower voltage cut-off [V],,V,exact,True,BPX 0.4,
electrode_area,Electrode area,m2,[],bpx,0.4,Electrode area [m2],,m2,close,True,BPX 0.4,BPX does not state which area definition; this schema requires area_kind.
